Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Seton Hill,Downtown/Seton Hill,6446.0,21201,57516.7,1242.0
University of Maryland,Downtown/Seton Hill,6446.0,21201,57516.7,1242.0
Downtown West,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Federal Hill,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Inner Harbor,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Otterbein,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Ridgely's Delight,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Riverside,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
South Baltimore,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Stadium Area,Inner Harbor/Federal Hill,12855.0,21201,100932.2,1242.0
Bolton Hill,Midtown,15020.0,21201,52477.2,1242.0
Charles North,Midtown,15020.0,21201,52477.2,1242.0
Greenmount West,Midtown,15020.0,21201,52477.2,1242.0
Mid-Town Belvedere,Midtown,15020.0,21201,52477.2,1242.0
Mount Vernon,Midtown,15020.0,21201,52477.2,1242.0
Hollins Market,Poppleton/The Terraces/Hollins Market,5086.0,21201,20365.8,1242.0
Poppleton,Poppleton/The Terraces/Hollins Market,5086.0,21201,20365.8,1242.0
Druid Heights,Upton/Druid Heights,10342.0,21201,21359.0,1242.0
Heritage Crossing,Upton/Druid Heights,10342.0,21201,21359.0,1242.0
Madison Park,Upton/Druid Heights,10342.0,21201,21359.0,1242.0
Upton,Upton/Druid Heights,10342.0,21201,21359.0,1242.0
Barre Circle,Washington Village/Pigtown,5503.0,21201,48273.2,1242.0
Caroll-Camden Industrial Area,Washington Village/Pigtown,5503.0,21201,48273.2,1242.0
Carroll Park,Washington Village/Pigtown,5503.0,21201,48273.2,1242.0
Washington Village/Pigtown,Washington Village/Pigtown,5503.0,21201,48273.2,1242.0
Greenmount Cemetery,Greenmount East,8184.0,21202,27320.2,2377.0
Johnston Square,Greenmount East,8184.0,21202,27320.2,2377.0
Oliver,Greenmount East,8184.0,21202,27320.2,2377.0
Jonestown,Harbor East/Little Italy,5407.0,21202,44087.0,2377.0
Little Italy,Harbor East/Little Italy,5407.0,21202,44087.0,2377.0
Perkins Homes,Harbor East/Little Italy,5407.0,21202,44087.0,2377.0
Washington Hill,Harbor East/Little Italy,5407.0,21202,44087.0,2377.0
Downtown West,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Federal Hill,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Inner Harbor,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Otterbein,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Ridgely's Delight,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Riverside,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
South Baltimore,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Stadium Area,Inner Harbor/Federal Hill,12855.0,21202,100932.2,2377.0
Bolton Hill,Midtown,15020.0,21202,52477.2,2377.0
Charles North,Midtown,15020.0,21202,52477.2,2377.0
Greenmount West,Midtown,15020.0,21202,52477.2,2377.0
Mid-Town Belvedere,Midtown,15020.0,21202,52477.2,2377.0
Mount Vernon,Midtown,15020.0,21202,52477.2,2377.0
CARE,Oldtown/Middle East,10021.0,21202,19374.1,2377.0
