,Zip Code,AREALAND,AREAWATR,Pop2010_x,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,TotalCases
508,21863,300061689.0,9781536.0,5029.0,2192.0,3346.0,1447.0,12.0,39.0,0.0,9.0,78.0,98.0,66.5,28.8,0.2,0.8,0.0,0.2,1.6,1.9,866.0,17.2,44.3,224.0,10.2,45.6,35.9,28.8,43.7,303.0
509,21864,55088003.0,6539888.0,611.0,309.0,460.0,118.0,2.0,2.0,0.0,0.0,14.0,15.0,75.3,19.3,0.3,0.3,0.0,0.0,2.3,2.5,107.0,17.5,45.5,54.0,17.5,52.1,34.0,21.1,29.6,39.0
510,21865,41813534.0,10319144.0,470.0,286.0,393.0,69.0,0.0,1.0,0.0,0.0,2.0,5.0,83.6,14.7,0.0,0.2,0.0,0.0,0.4,1.1,107.0,22.8,51.0,38.0,13.3,55.1,36.7,13.0,42.9,23.0
513,21869,245571192.0,34322672.0,1006.0,561.0,744.0,220.0,6.0,2.0,0.0,3.0,17.0,14.0,74.0,21.9,0.6,0.2,0.0,0.3,1.7,1.4,223.0,22.2,48.0,77.0,13.7,39.9,50.1,20.0,40.6,64.0
514,21871,175572653.0,17958893.0,2124.0,1080.0,1514.0,523.0,6.0,13.0,1.0,1.0,30.0,36.0,71.3,24.6,0.3,0.6,0.0,0.0,1.4,1.7,379.0,17.8,45.9,154.0,14.3,45.9,42.2,20.5,25.2,104.0
515,21872,46808316.0,216712.0,718.0,307.0,600.0,85.0,2.0,13.0,0.0,0.0,9.0,9.0,83.6,11.8,0.3,1.8,0.0,0.0,1.3,1.3,109.0,15.2,45.2,28.0,9.1,50.6,39.6,16.2,25.9,54.0
516,21874,69407025.0,113317.0,2210.0,917.0,1973.0,111.0,4.0,28.0,0.0,2.0,32.0,60.0,89.3,5.0,0.2,1.3,0.0,0.1,1.4,2.7,256.0,11.6,38.1,65.0,7.1,54.0,29.6,23.3,33.5,137.0
517,21875,60796561.0,93909.0,6467.0,2796.0,4853.0,976.0,12.0,238.0,0.0,5.0,159.0,224.0,75.0,15.1,0.2,3.7,0.0,0.1,2.5,3.5,700.0,10.8,37.1,283.0,10.1,51.4,25.8,30.7,35.1,536.0
518,21890,342406.0,1649.0,3240.0,0.0,811.0,2392.0,1.0,2.0,0.0,0.0,6.0,28.0,25.0,73.8,0.0,0.1,0.0,0.0,0.2,0.9,50.0,1.5,35.6,0.0,0.0,0.0,0.0,0.0,0.0,1097.0
519,21901,127422037.0,8413939.0,15875.0,6648.0,14350.0,665.0,36.0,160.0,0.0,5.0,270.0,389.0,90.4,4.2,0.2,1.0,0.0,0.0,1.7,2.5,1632.0,10.3,37.0,413.0,6.2,55.6,21.8,28.9,32.2,797.0
521,21903,31427354.0,246434.0,5687.0,2613.0,4822.0,447.0,25.0,69.0,3.0,17.0,105.0,199.0,84.8,7.9,0.4,1.2,0.1,0.3,1.8,3.5,750.0,13.2,42.2,188.0,7.2,53.3,22.4,31.4,28.8,321.0
522,21904,61208326.0,6533406.0,7252.0,2871.0,6493.0,371.0,24.0,38.0,0.0,7.0,148.0,171.0,89.5,5.1,0.3,0.5,0.0,0.1,2.0,2.4,775.0,10.7,40.7,231.0,8.0,59.4,27.6,17.9,30.2,298.0
524,21911,96719926.0,686672.0,11004.0,4081.0,10486.0,68.0,29.0,57.0,5.0,3.0,124.0,232.0,95.3,0.6,0.3,0.5,0.0,0.0,1.1,2.1,1385.0,12.6,38.7,182.0,4.5,57.9,25.3,22.5,25.4,752.0
525,21912,81430162.0,3579873.0,1231.0,508.0,1042.0,92.0,2.0,4.0,0.0,6.0,8.0,77.0,84.6,7.5,0.2,0.3,0.0,0.5,0.6,6.3,141.0,11.5,40.9,32.0,6.3,56.9,26.6,22.5,23.7,83.0
526,21913,1165581.0,0.0,663.0,264.0,524.0,78.0,0.0,3.0,2.0,0.0,9.0,47.0,79.0,11.8,0.0,0.5,0.3,0.0,1.4,7.1,85.0,12.8,35.4,24.0,9.1,45.1,27.7,37.6,38.0,68.0
527,21914,1903165.0,477110.0,765.0,428.0,734.0,0.0,1.0,4.0,0.0,0.0,7.0,19.0,95.9,0.0,0.1,0.5,0.0,0.0,0.9,2.5,117.0,15.3,43.6,40.0,9.3,55.3,29.4,21.7,35.3,39.0
528,21915,65591600.0,12194841.0,3030.0,1582.0,2784.0,54.0,4.0,11.0,6.0,0.0,19.0,152.0,91.9,1.8,0.1,0.4,0.2,0.0,0.6,5.0,504.0,16.6,46.0,105.0,6.6,55.3,29.7,21.4,29.9,163.0
530,21917,20265281.0,146369.0,2520.0,907.0,2387.0,30.0,2.0,17.0,1.0,8.0,38.0,37.0,94.7,1.2,0.1,0.7,0.0,0.3,1.5,1.5,310.0,12.3,42.0,39.0,4.3,68.2,22.1,12.5,16.7,134.0
531,21918,45741330.0,6628177.0,4284.0,1589.0,4096.0,55.0,6.0,30.0,2.0,5.0,45.0,45.0,95.6,1.3,0.1,0.7,0.0,0.1,1.1,1.1,481.0,11.2,41.2,69.0,4.3,61.1,30.0,12.8,24.2,208.0
532,21919,112736603.0,22553121.0,3467.0,2179.0,3321.0,43.0,14.0,8.0,0.0,2.0,39.0,40.0,95.8,1.2,0.4,0.2,0.0,0.1,1.1,1.2,676.0,19.5,47.1,84.0,3.9,52.7,39.5,12.9,21.7,143.0
534,21921,244939298.0,14098236.0,44471.0,17232.0,36707.0,3953.0,98.0,673.0,20.0,37.0,989.0,1994.0,82.5,8.9,0.2,1.5,0.0,0.1,2.2,4.5,4818.0,10.8,36.7,892.0,5.2,51.9,24.5,31.3,34.5,2875.0
